French,English
histoire,history
chercher,search
police,police
pensais,thought
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
vieux,old
sois,be
tiens,here
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
venez,come
devant,in front of
chambre,bedroom
belle,beautiful
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
bureau,office
